project_name,category,style,software,views,likes,comments,saves,date,description
Mobile Banking App,illustration,vintage,Photoshop,1678,225,23,72,2024-01-19,vintage illustration project created in Photoshop
Portfolio Landing Page,graphic design,brutalism,InDesign,868,205,29,30,2024-01-28,brutalism graphic design project created in InDesign
Coffee Brand Identity,web design,clean,Webflow,3615,445,46,172,2024-02-06,clean web design project created in Webflow
Fantasy Character Art,motion design,cozy,After Effects,3499,545,78,216,2024-02-15,cozy motion design project created in After Effects
Music Visualizer,music cover,dark mode,Photoshop,1122,253,35,34,2024-02-24,dark mode music cover project created in Photoshop
Cozy 3D Room,branding,anime,Illustrator,3379,562,47,117,2024-03-04,anime branding project created in Illustrator
Event Poster,3d art,editorial,Cinema 4D,2759,394,27,217,2024-03-13,editorial 3d art project created in Cinema 4D
Electronic Album Cover,ui design,retro,Adobe XD,3491,728,83,171,2024-03-22,retro ui design project created in Adobe XD
Fitness App UI,illustration,cyberpunk,Illustrator,1611,320,42,106,2024-03-31,cyberpunk illustration project created in Illustrator
SaaS Dashboard,graphic design,neon,Illustrator,1666,286,19,111,2024-04-09,neon graphic design project created in Illustrator
Logo Collection,web design,cartoon,Webflow,3713,794,100,156,2024-04-18,cartoon web design project created in Webflow
Mascot Design,motion design,minimalism,Blender,3651,850,42,186,2024-04-27,minimalism motion design project created in Blender
Motion Promo,music cover,vintage,Illustrator,1547,420,41,98,2024-05-06,vintage music cover project created in Illustrator
Product Render,branding,brutalism,Illustrator,3043,609,35,128,2024-05-15,brutalism branding project created in Illustrator
Book Cover,3d art,clean,Blender,3952,676,98,135,2024-05-24,clean 3d art project created in Blender
Game Interface,ui design,cozy,Figma,3596,590,34,237,2024-06-02,cozy ui design project created in Figma
Travel Website,illustration,dark mode,Photoshop,2920,496,65,155,2024-06-11,dark mode illustration project created in Photoshop
Bakery Branding,graphic design,anime,InDesign,1466,242,19,104,2024-06-20,anime graphic design project created in InDesign
Anime Portrait Series,web design,editorial,Framer,4088,826,71,209,2024-06-29,editorial web design project created in Framer
Festival Animation,motion design,retro,Blender,2799,706,30,165,2024-07-08,retro motion design project created in Blender
Interior Concept,music cover,cyberpunk,Photoshop,552,92,7,37,2024-07-17,cyberpunk music cover project created in Photoshop
Typography Poster,branding,neon,Photoshop,2080,337,43,95,2024-07-26,neon branding project created in Photoshop
Indie Band Cover,3d art,cartoon,Cinema 4D,3683,869,30,263,2024-08-04,cartoon 3d art project created in Cinema 4D
Habit Tracker App,ui design,minimalism,Adobe XD,4049,820,100,163,2024-08-13,minimalism ui design project created in Adobe XD
Crypto Dashboard,illustration,vintage,Illustrator,2340,353,18,167,2024-08-22,vintage illustration project created in Illustrator
Tea Packaging,graphic design,brutalism,InDesign,1138,315,34,66,2024-08-31,brutalism graphic design project created in InDesign
Cartoon Sticker Pack,web design,clean,Figma,4830,738,106,253,2024-09-09,clean web design project created in Figma
Explainer Animation,motion design,cozy,After Effects,3115,698,61,233,2024-09-18,cozy motion design project created in After Effects
3D Product Scene,music cover,dark mode,Photoshop,1374,260,14,111,2024-09-27,dark mode music cover project created in Photoshop
Magazine Layout,branding,anime,Figma,2440,308,66,164,2024-10-06,anime branding project created in Figma
Streaming App UI,3d art,editorial,Blender,4048,772,38,298,2024-10-15,editorial 3d art project created in Blender
Design Agency Website,ui design,retro,Figma,3212,618,92,104,2024-10-24,retro ui design project created in Figma
Streetwear Logo Set,illustration,cyberpunk,Photoshop,2692,492,34,165,2024-11-02,cyberpunk illustration project created in Photoshop
Children Book Illustration,graphic design,neon,InDesign,1854,321,33,157,2024-11-11,neon graphic design project created in InDesign
Short Motion Reel,web design,cartoon,Framer,4314,725,83,131,2024-11-20,cartoon web design project created in Framer
Minimal Poster Series,motion design,minimalism,After Effects,2481,427,51,108,2024-11-29,minimalism motion design project created in After Effects
